"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"384.7075","36.6115","0","Virgin Media","306","speed.custdc.net","1","15","12/19/2020 00:12:51"
"382.5964","36.6283","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/19/2020 00:22:15"
"384.3318","36.6108","0","Virgin Media","306","speed.custdc.net","2","16","12/19/2020 00:33:54"
"383.7559","36.5792","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/19/2020 00:55:09"
"383.4746","36.7267","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/19/2020 01:14:06"
"384.3766","36.5679","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","1","16","12/19/2020 01:15:56"
"384.789","36.598","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/19/2020 01:42:21"
"383.4495","36.6456","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","16","12/19/2020 01:59:14"
