"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"382.1696","36.5267","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","12/31/2020 00:06:09"
"382.8016","36.404","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","9","20","12/31/2020 00:16:36"
"382.7194","36.5354","0","Virgin Media","452","speed.custdc.net","3","20","12/31/2020 00:38:59"
"384.3338","36.6018","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","20","12/31/2020 00:58:10"
"379.9259","36.6394","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","12/31/2020 01:03:55"
"383.6057","36.6363","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","19","12/31/2020 01:19:26"
"381.834","36.6901","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","22","12/31/2020 01:33:48"
"383.8478","35.8189","0","Virgin Media","452","speed.custdc.net","1","17","12/31/2020 01:50:53"
