"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"305.6703","36.5777","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","19","01/08/2021 00:11:56"
"383.0437","36.5591","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/08/2021 00:26:28"
"368.5967","36.5687","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","22","01/08/2021 00:42:04"
"382.0686","36.5961","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/08/2021 00:51:13"
"381.4008","36.5813","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","5","20","01/08/2021 01:06:07"
"382.1473","36.402","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","7","20","01/08/2021 01:17:15"
"383.3858","36.6193","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/08/2021 01:37:40"
"382.6704","36.5763","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/08/2021 01:49:31"
"380.9616","36.5599","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","10","20","01/08/2021 02:10:02"
"380.5272","36.7343","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/08/2021 02:17:22"
"381.0216","36.5496","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","19","01/08/2021 02:40:18"
"383.8564","36.5789","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","9","21","01/08/2021 02:51:03"
"381.8162","36.5378","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/08/2021 03:05:39"
"383.6323","36.4769","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","7","19","01/08/2021 03:28:04"
"380.8412","36.522","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/08/2021 03:42:55"
"384.877","36.5783","0","Virgin Media","452","speed.custdc.net","1","20","01/08/2021 03:57:57"
"384.4033","36.6827","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","19","01/08/2021 04:07:49"
"378.1031","36.5936","0","Virgin Media","452","basl-speedtest-1.server.virginmedia.net","1","20","01/08/2021 04:17:45"
"383.9708","36.6098","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/08/2021 04:41:43"
"383.0329","36.7398","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","21","01/08/2021 04:46:13"
"382.8797","36.406","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","19","01/08/2021 05:12:23"
"319.7756","36.6076","0","Virgin Media","452","basl-speedtest-1.server.virginmedia.net","3","18","01/08/2021 05:18:00"
"383.1409","36.6214","0","Virgin Media","452","speed.custdc.net","1","18","01/08/2021 05:30:26"
"384.0591","36.5967","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","22","01/08/2021 05:51:09"
"382.8355","36.5812","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/08/2021 06:08:33"
"370.9717","36.6064","0","Virgin Media","452","basl-speedtest-1.server.virginmedia.net","3","19","01/08/2021 06:19:17"
"380.4423","36.2886","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","5","19","01/08/2021 06:38:24"
"382.5373","36.536","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/08/2021 06:54:24"
"383.79","36.5911","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/08/2021 07:13:18"
"374.5309","36.5399","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/08/2021 07:22:35"
"383.7385","36.5895","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","6","19","01/08/2021 07:33:51"
"381.8149","36.4842","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","01/08/2021 07:47:04"
"382.1109","36.5986","0","Virgin Media","452","basl-speedtest-1.server.virginmedia.net","3","19","01/08/2021 08:08:53"
"383.3512","36.5755","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","01/08/2021 08:24:00"
"368.5184","34.3582","0","Virgin Media","452","speed.custdc.net","3","19","01/08/2021 08:44:13"
"382.8166","36.5054","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/08/2021 08:56:05"
"383.9062","36.586","0","Virgin Media","452","speed.custdc.net","1","20","01/08/2021 09:12:25"
"384.1033","36.4952","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/08/2021 09:29:24"
"383.1282","36.4182","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","21","01/08/2021 09:34:49"
"380.4873","36.5254","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/08/2021 09:58:53"
"380.2251","36.4792","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/08/2021 10:00:26"
"383.4294","36.4253","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/08/2021 10:17:11"
"381.4873","36.6048","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","5","21","01/08/2021 10:33:47"
"380.6682","36.4849","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/08/2021 10:48:10"
"382.5443","36.5691","0","Virgin Media","452","speed.custdc.net","3","19","01/08/2021 11:00:38"
