"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"384.6247","36.6057","0","Virgin Media","306","speed.custdc.net","1","15","12/15/2020 00:11:52"
"384.6072","36.5918","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 00:17:11"
"382.129","36.4662","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","5","16","12/15/2020 00:42:04"
"382.7457","36.5524","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 00:50:38"
"382.1265","36.383","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/15/2020 01:09:50"
"383.8205","36.5733","1","Virgin Media","306","speed.custdc.net","0","16","12/15/2020 01:29:03"
"383.3994","36.613","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/15/2020 01:35:40"
"383.3747","36.5875","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/15/2020 01:59:28"
"384.415","36.4609","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/15/2020 02:06:15"
"382.3175","36.5228","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/15/2020 02:16:04"
"383.9905","36.5653","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 02:40:24"
"372.5503","36.4554","1","Virgin Media","306","speed.custdc.net","1","16","12/15/2020 02:53:01"
"360.9662","36.5384","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/15/2020 03:08:41"
"375.5211","36.5916","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 03:20:54"
"377.7754","36.6781","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 03:40:53"
"368.9208","36.4578","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/15/2020 03:50:45"
"382.8893","36.5975","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","16","12/15/2020 04:06:27"
"365.4081","36.5711","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 04:28:30"
"372.1474","36.6856","2","Virgin Media","306","speed.custdc.net","1","16","12/15/2020 04:32:59"
"372.81","36.5173","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 04:50:40"
"384.2089","36.633","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 05:09:53"
"351.1829","36.5837","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","32","12/15/2020 05:26:53"
"200.1635","36.4972","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","3","16","12/15/2020 05:41:53"
"383.8509","36.262","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 05:51:42"
"383.3548","36.5923","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/15/2020 06:11:06"
"376.8458","36.6277","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 06:28:44"
"383.4488","36.5702","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 06:40:01"
"382.8977","36.5675","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/15/2020 06:53:47"
"384.2808","36.449","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","16","12/15/2020 07:13:52"
"375.8356","36.3271","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 07:27:22"
"374.6876","36.3374","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 07:44:02"
"384.2919","36.5529","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 07:53:42"
"372.6699","36.5231","0","Virgin Media","306","speed.custdc.net","1","16","12/15/2020 08:12:40"
"384.2428","36.606","0","Virgin Media","306","speed.custdc.net","0","16","12/15/2020 08:17:11"
"384.0208","36.1778","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 08:44:00"
"381.8186","36.3843","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","6","16","12/15/2020 08:51:48"
"374.216","36.3988","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","8","15","12/15/2020 09:01:58"
"382.0344","36.6387","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 09:28:11"
"383.0801","36.223","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/15/2020 09:36:02"
"380.9408","36.5613","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","14","12/15/2020 09:52:15"
"376.6008","36.5838","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","0","15","12/15/2020 10:07:45"
"378.1773","36.4212","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","4","15","12/15/2020 10:28:36"
"384.6694","36.5425","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","16","12/15/2020 10:35:51"
"383.4097","36.3777","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 10:57:28"
"384.1087","36.5969","0","Virgin Media","306","speed.custdc.net","1","15","12/15/2020 11:06:12"
"382.876","36.4758","0","Virgin Media","306","speed.custdc.net","1","15","12/15/2020 11:21:52"
"382.6781","36.5451","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","2","15","12/15/2020 11:32:39"
"383.1119","36.4795","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","15","12/15/2020 11:52:41"
"382.05","36.6167","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","15","12/15/2020 12:03:54"
"383.9667","36.6359","0","Virgin Media","306","basl-speedtest-1.server.virginmedia.net","5","16","12/15/2020 12:16:02"
