"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"374.381","34.2011","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/09/2021 00:04:01"
"380.8852","36.5557","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","19","01/09/2021 00:17:01"
"380.7015","36.5425","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","22","01/09/2021 00:39:29"
"383.5874","36.5401","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/09/2021 00:46:03"
"380.2123","36.5714","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","19","01/09/2021 01:12:52"
"371.7949","36.5908","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","8","21","01/09/2021 01:19:10"
"373.8628","36.1497","0","Virgin Media","452","basl-speedtest-1.server.virginmedia.net","3","19","01/09/2021 01:34:11"
"384.5146","36.5128","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/09/2021 01:54:38"
"382.2098","36.5759","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/09/2021 02:10:58"
"380.7573","36.5695","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","19","01/09/2021 02:22:47"
"382.9757","36.5115","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/09/2021 02:34:48"
"381.2948","36.6641","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/09/2021 02:47:24"
"384.5401","36.6097","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","19","01/09/2021 03:04:39"
"382.403","36.5565","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","01/09/2021 03:22:11"
"381.6498","36.5661","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/09/2021 03:32:38"
"382.4271","36.4891","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","22","01/09/2021 03:48:08"
"383.6843","36.5523","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/09/2021 04:07:41"
"385.218","36.5291","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/09/2021 04:17:38"
"381.002","36.551","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/09/2021 04:33:20"
"379.8884","36.473","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","19","01/09/2021 04:45:56"
"382.5349","36.5603","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/09/2021 05:11:21"
"381.5996","36.6614","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","19","01/09/2021 05:20:33"
