"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"382.9344","36.5716","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/04/2021 00:04:23"
"323.7353","36.5923","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","21","01/04/2021 00:18:18"
"383.1726","36.5765","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","21","01/04/2021 00:32:06"
"378.7889","36.6238","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","5","20","01/04/2021 00:49:43"
"380.0885","36.6009","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","9","21","01/04/2021 01:13:26"
"381.7286","36.5706","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/04/2021 01:24:36"
"382.5176","36.5253","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","20","01/04/2021 01:43:58"
"383.8396","36.6357","0","Virgin Media","452","speed.custdc.net","2","18","01/04/2021 01:49:13"
"376.4878","36.6266","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","23","01/04/2021 02:06:23"
"383.3478","36.5116","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/04/2021 02:21:55"
"382.0272","36.3838","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","01/04/2021 02:38:21"
"384.329","36.4961","0","Virgin Media","452","speed.custdc.net","1","18","01/04/2021 02:56:58"
"384.2835","36.6181","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","0","22","01/04/2021 03:09:40"
"381.7971","36.5247","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","22","01/04/2021 03:21:53"
"383.0732","36.5956","0","Virgin Media","452","speed.custdc.net","1","20","01/04/2021 03:39:33"
"382.0714","36.5991","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","21","01/04/2021 03:53:59"
"384.3726","36.6143","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","23","01/04/2021 04:03:02"
"384.1303","36.6056","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","0","21","01/04/2021 04:22:02"
"384.1461","36.7491","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","99","25","01/04/2021 04:33:45"
"384.571","36.6024","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","22","01/04/2021 04:54:24"
"384.0093","36.596","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/04/2021 05:02:23"
"383.9915","36.5802","0","Virgin Media","452","speed.custdc.net","3","19","01/04/2021 05:26:44"
"383.6889","36.4938","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","4","19","01/04/2021 05:40:25"
"382.9829","36.5696","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","22","01/04/2021 05:53:56"
"384.6207","36.64","0","Virgin Media","452","speed.custdc.net","1","21","01/04/2021 06:12:39"
"382.0601","36.6041","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/04/2021 06:24:23"
"383.9348","36.6217","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/04/2021 06:42:40"
"384.5652","36.5186","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","20","01/04/2021 06:58:54"
"384.3241","36.5586","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","22","01/04/2021 07:12:49"
"381.4651","36.5911","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/04/2021 07:19:53"
"383.3253","36.575","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","22","01/04/2021 07:32:48"
"384.6502","36.6044","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","3","18","01/04/2021 07:54:59"
"383.7128","36.5632","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/04/2021 08:06:00"
"384.6085","36.5739","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","21","01/04/2021 08:22:38"
"383.0521","36.5726","0","Virgin Media","452","speed.custdc.net","3","19","01/04/2021 08:34:23"
"383.6152","36.6469","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","8","20","01/04/2021 08:46:25"
"372.9298","36.1546","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","20","01/04/2021 09:12:18"
"383.7467","36.5981","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","2","20","01/04/2021 09:25:22"
"383.5746","35.7832","0","Virgin Media","452","speedtestmera.vs.mythic-beasts.com","1","22","01/04/2021 09:44:05"
