"DownloadSpeed","UploadSpeed","PacketLoss","ISP","ExternalIPSum","UsedServer","Jitter","Latency","Timestamp"
"379.8148","36.2104","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","8","16","12/24/2020 00:01:56"
"384.0468","36.5381","1","Virgin Media","306","speed.custdc.net","7","15","12/24/2020 00:21:28"
"384.352","36.5553","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","3","14","12/24/2020 00:35:32"
"383.7024","36.4887","0","Virgin Media","306","speedtestmera.vs.mythic-beasts.com","1","14","12/24/2020 00:50:42"
